Late_delivery_risk,risk_proba,risk_tier,Shipping Mode,Order Region,Category Name
1,0.9914179,HIGH,First Class,Western Europe,Fishing
1,0.9897361,HIGH,First Class,Central America,Cleats
1,0.8362146,HIGH,First Class,South America,Women's Apparel
0,0.37434524,LOW,Standard Class,East of USA,Shop By Sport
1,0.54193336,MEDIUM,Same Day,Central America,Water Sports
1,0.7984761,HIGH,Second Class,Western Europe,Men's Footwear
0,0.6887863,HIGH,Second Class,Caribbean,Fishing
0,0.34047607,LOW,Standard Class,Western Europe,Men's Footwear
1,0.7719928,HIGH,Second Class,East of USA,Indoor/Outdoor Games
1,0.8173891,HIGH,Second Class,West Africa,Fishing
1,0.85864115,HIGH,First Class,West Africa,Women's Apparel
0,0.39617282,LOW,Standard Class,South America,Fishing
1,0.41517487,LOW,Standard Class,West of USA ,Women's Apparel
0,0.34360486,LOW,Standard Class,South of  USA ,Camping & Hiking
0,0.37332055,LOW,Standard Class,East of USA,Cleats
1,0.42837828,LOW,Standard Class,Eastern Europe,Indoor/Outdoor Games
1,0.84099144,HIGH,First Class,West Asia,Cleats
1,0.9913373,HIGH,First Class,Western Europe,Cleats
1,0.6463781,HIGH,Second Class,Southern Europe,Golf Gloves
1,0.79689556,HIGH,Second Class,Southeast Asia,Cleats
0,0.8243876,HIGH,Second Class,Western Europe,Fishing
1,0.98276204,HIGH,First Class,Oceania,Shop By Sport
0,0.3387044,LOW,Standard Class,Southeast Asia,Men's Footwear
1,0.99118865,HIGH,First Class,Western Europe,Men's Footwear
0,0.3953487,LOW,Standard Class,West Asia,Indoor/Outdoor Games
1,0.9911027,HIGH,First Class,North Africa,Cleats
0,0.39422986,LOW,Standard Class,Central America,Water Sports
1,0.4686036,MEDIUM,Same Day,South America,Cleats
1,0.3452609,LOW,Standard Class,Eastern Europe,Women's Apparel
1,0.377175,LOW,Standard Class,Southern Europe,Men's Golf Clubs
0,0.34360486,LOW,Standard Class,South Asia,Camping & Hiking
1,0.46353823,MEDIUM,Standard Class,South America,Women's Apparel
1,0.79689556,HIGH,Second Class,East Africa,Indoor/Outdoor Games
1,0.34897006,LOW,Standard Class,Central America,Cleats
1,0.8270959,HIGH,Second Class,Western Europe,Shop By Sport
1,0.9912788,HIGH,First Class,Western Europe,Water Sports
1,0.7992796,HIGH,Second Class,Central America,Cleats
1,0.36387125,LOW,Standard Class,East of USA,Cleats
0,0.34481028,LOW,Standard Class,West Africa,Fishing
1,0.3412061,LOW,Standard Class,Central America,Cleats
1,0.39422986,LOW,Standard Class,Caribbean,Cardio Equipment
1,0.990564,HIGH,First Class,West Asia,Men's Footwear
1,0.79666895,HIGH,Second Class,Southeast Asia,Cleats
0,0.7740767,HIGH,Second Class,West of USA ,Men's Footwear
0,0.61531085,HIGH,Standard Class,Southeast Asia,Camping & Hiking
0,0.4092634,LOW,Same Day,Western Europe,Cleats
1,0.39489606,LOW,Standard Class,Oceania,Water Sports
1,0.39377767,LOW,Standard Class,South Asia,Cleats
1,0.38131577,LOW,Standard Class,Southern Africa,Cardio Equipment
1,0.83972305,HIGH,First Class,South Asia,Men's Footwear
1,0.5194704,MEDIUM,Standard Class,Southern Europe,Indoor/Outdoor Games
1,0.39333144,LOW,Standard Class,Northern Europe,Cardio Equipment
1,0.35316798,LOW,Standard Class,Southeast Asia,Toys
1,0.9913737,HIGH,First Class,Central America,Electronics
0,0.33724925,LOW,Standard Class,Eastern Europe,Cleats
0,0.40670472,LOW,Standard Class,Western Europe,Golf Balls
1,0.38129202,LOW,Standard Class,Central America,Camping & Hiking
0,0.34481028,LOW,Standard Class,South America,Fishing
0,0.39507705,LOW,Standard Class,Southern Europe,Cleats
0,0.39625555,LOW,Standard Class,Central America,Indoor/Outdoor Games
0,0.34359172,LOW,Standard Class,South America,Water Sports
1,0.41725853,LOW,Standard Class,South America,Men's Footwear
1,0.40010363,LOW,Standard Class,South America,Indoor/Outdoor Games
0,0.69083065,HIGH,Second Class,Southern Europe,Boxing & MMA
1,0.79583156,HIGH,Second Class,Northern Europe,Shop By Sport
0,0.43879375,LOW,Same Day,Central America,Indoor/Outdoor Games
1,0.8513977,HIGH,First Class,South America,Water Sports
0,0.30922222,LOW,Standard Class,South America,Women's Apparel
1,0.7994263,HIGH,Second Class,Central America,Fishing
1,0.79689556,HIGH,Second Class,Central America,Men's Footwear
0,0.3419806,LOW,Standard Class,Northern Europe,Water Sports
1,0.79842144,HIGH,Second Class,Oceania,Cardio Equipment
0,0.48012924,MEDIUM,Standard Class,South Asia,Accessories
1,0.39505318,LOW,Standard Class,South America,Fishing
1,0.54417866,MEDIUM,Same Day,East of USA,Indoor/Outdoor Games
0,0.39377767,LOW,Standard Class,South America,Cleats
1,0.9911027,HIGH,First Class,Central America,Indoor/Outdoor Games
1,0.8197131,HIGH,Second Class,North Africa,Cleats
1,0.79500484,HIGH,Second Class,Central America,Golf Apparel
1,0.34431392,LOW,Standard Class,Caribbean,Fishing
1,0.39489606,LOW,Standard Class,South America,Indoor/Outdoor Games
1,0.98390806,HIGH,First Class,Southeast Asia,Water Sports
0,0.39769223,LOW,Standard Class,Western Europe,Camping & Hiking
1,0.6876404,HIGH,Second Class,Caribbean,Cleats
1,0.79775715,HIGH,Second Class,US Center ,Electronics
1,0.65941566,HIGH,Second Class,Western Europe,Indoor/Outdoor Games
0,0.39801896,LOW,Standard Class,South Asia,Camping & Hiking
1,0.9906358,HIGH,First Class,Southeast Asia,Shop By Sport
0,0.39670876,LOW,Standard Class,West of USA ,Cleats
1,0.84099144,HIGH,First Class,Central America,Indoor/Outdoor Games
0,0.3443781,LOW,Standard Class,Central America,Cleats
0,0.39505318,LOW,Standard Class,Central America,Fishing
1,0.34852564,LOW,Standard Class,South Asia,Camping & Hiking
1,0.84220475,HIGH,First Class,Western Europe,Basketball
1,0.83972305,HIGH,First Class,Southeast Asia,Pet Supplies
1,0.47059077,MEDIUM,Standard Class,Western Europe,Indoor/Outdoor Games
0,0.34047607,LOW,Standard Class,Western Europe,Water Sports
0,0.3953487,LOW,Standard Class,South Asia,Men's Footwear
1,0.99181914,HIGH,First Class,Central America,Shop By Sport
1,0.36909956,LOW,Standard Class,Caribbean,Cleats
1,0.4067777,LOW,Standard Class,Western Europe,Kids' Golf Clubs
1,0.99114966,HIGH,First Class,West of USA ,Cardio Equipment
1,0.39379513,LOW,Standard Class,Eastern Europe,Men's Footwear
0,0.35647714,LOW,Standard Class,Southeast Asia,Women's Apparel
0,0.3477446,LOW,Standard Class,Central America,Men's Footwear
1,0.3989802,LOW,Standard Class,Southeast Asia,Cardio Equipment
0,0.4164912,LOW,Standard Class,Oceania,Indoor/Outdoor Games
0,0.4462203,LOW,Standard Class,South America,Fishing
0,0.3953487,LOW,Standard Class,West Asia,Cleats
1,0.99110717,HIGH,First Class,Northern Europe,Men's Footwear
1,0.9906551,HIGH,First Class,Western Europe,Camping & Hiking
1,0.38758066,LOW,Standard Class,Eastern Asia,Fishing
1,0.9835601,HIGH,First Class,Central America,Shop By Sport
1,0.39988178,LOW,Standard Class,Western Europe,Fishing
1,0.34263623,LOW,Standard Class,Western Europe,Women's Apparel
1,0.43914494,LOW,Standard Class,East of USA,Cleats
0,0.5546802,MEDIUM,Second Class,South Asia,Indoor/Outdoor Games
1,0.34113368,LOW,Standard Class,Central America,Cleats
1,0.80344963,HIGH,Second Class,Western Europe,Water Sports
1,0.79500484,HIGH,Second Class,Eastern Asia,Water Sports
0,0.28756842,LOW,Standard Class,Northern Europe,Cardio Equipment
0,0.3416222,LOW,Standard Class,Oceania,Golf Balls
1,0.79814076,HIGH,Second Class,South America,Men's Footwear
0,0.6541612,HIGH,Second Class,West of USA ,Cleats
1,0.9911027,HIGH,First Class,Central America,Camping & Hiking
0,0.39422986,LOW,Standard Class,North Africa,Men's Footwear
1,0.38131577,LOW,Standard Class,West Africa,Cardio Equipment
0,0.40778702,LOW,Same Day,North Africa,Cleats
1,0.44481972,LOW,Standard Class,Central America,Camping & Hiking
1,0.6877891,HIGH,Second Class,Caribbean,Indoor/Outdoor Games
0,0.40028545,LOW,Standard Class,Southern Europe,Camping & Hiking
1,0.9911857,HIGH,First Class,Central America,Men's Footwear
1,0.7940286,HIGH,Second Class,South America,Women's Apparel
0,0.3989802,LOW,Standard Class,South America,Indoor/Outdoor Games
0,0.34918302,LOW,Standard Class,Central America,Men's Footwear
1,0.9911027,HIGH,First Class,Central America,Women's Apparel
0,0.39851806,LOW,Standard Class,Western Europe,Fishing
1,0.9909435,HIGH,First Class,West of USA ,Men's Footwear
0,0.802837,HIGH,Second Class,Central America,Indoor/Outdoor Games
1,0.8039339,HIGH,Second Class,West Asia,Electronics
1,0.39635402,LOW,Standard Class,Southern Europe,Fishing
1,0.9896924,HIGH,First Class,South America,Men's Footwear
1,0.8047752,HIGH,Second Class,US Center ,Camping & Hiking
1,0.9911027,HIGH,First Class,North Africa,Men's Footwear
1,0.7890165,HIGH,Second Class,Southeast Asia,Camping & Hiking
0,0.3654527,LOW,Standard Class,East Africa,Men's Footwear
1,0.34774014,LOW,Standard Class,East of USA,Men's Footwear
0,0.40026143,LOW,Standard Class,South America,Cardio Equipment
0,0.3548483,LOW,Standard Class,Western Europe,Camping & Hiking
1,0.9911596,HIGH,First Class,Central America,Kids' Golf Clubs
0,0.26441085,LOW,Standard Class,South Asia,Men's Footwear
1,0.99164444,HIGH,First Class,North Africa,Fishing
0,0.39619672,LOW,Standard Class,Southern Europe,Indoor/Outdoor Games
0,0.39377767,LOW,Standard Class,South America,Indoor/Outdoor Games
1,0.39983648,LOW,Standard Class,South Asia,Camping & Hiking
0,0.19365786,LOW,Standard Class,Caribbean,Women's Apparel
0,0.45299116,MEDIUM,Standard Class,Central America,Fishing
0,0.3452609,LOW,Standard Class,Northern Europe,Indoor/Outdoor Games
0,0.39333144,LOW,Standard Class,Northern Europe,Cardio Equipment
1,0.40138605,LOW,Standard Class,North Africa,Cardio Equipment
0,0.39507705,LOW,Standard Class,Southern Europe,Men's Footwear
1,0.79814076,HIGH,Second Class,South of  USA ,Water Sports
0,0.77983785,HIGH,Second Class,West Asia,Cardio Equipment
1,0.84345716,HIGH,First Class,Western Europe,Water Sports
0,0.34282908,LOW,Standard Class,Central America,Women's Apparel
0,0.39422986,LOW,Standard Class,South America,Women's Apparel
1,0.3421854,LOW,Standard Class,South America,Water Sports
0,0.41634744,LOW,Standard Class,Oceania,Shop By Sport
0,0.7357409,HIGH,Second Class,Central America,Cardio Equipment
0,0.34282908,LOW,Standard Class,Central America,Shop By Sport
1,0.7934598,HIGH,Second Class,South Asia,Women's Apparel
1,0.9911506,HIGH,First Class,Southern Europe,Shop By Sport
1,0.99066424,HIGH,First Class,Southern Europe,Camping & Hiking
0,0.396118,LOW,Standard Class,Western Europe,Men's Footwear
1,0.68929434,HIGH,Second Class,Central America,Water Sports
0,0.39354792,LOW,Standard Class,Oceania,Indoor/Outdoor Games
1,0.39489606,LOW,Standard Class,South Asia,Shop By Sport
1,0.33992395,LOW,Standard Class,Eastern Europe,Shop By Sport
1,0.8485043,HIGH,Second Class,Northern Europe,Shop By Sport
1,0.385029,LOW,Standard Class,Southeast Asia,Hockey
1,0.35957912,LOW,Standard Class,Central America,Camping & Hiking
1,0.990564,HIGH,First Class,Southeast Asia,Consumer Electronics
1,0.99273723,HIGH,First Class,Northern Europe,Cardio Equipment
0,0.36271748,LOW,Standard Class,Western Europe,Kids' Golf Clubs
0,0.6936326,HIGH,Second Class,Oceania,Fishing
1,0.9913385,HIGH,First Class,Oceania,Cardio Equipment
0,0.44358164,LOW,Standard Class,Central America,Cardio Equipment
1,0.79806995,HIGH,Second Class,Central America,Camping & Hiking
1,0.80051386,HIGH,Second Class,Central America,Fishing
1,0.79842144,HIGH,Second Class,West Asia,Cleats
0,0.33975822,LOW,Standard Class,Eastern Asia,Men's Footwear
1,0.43953648,LOW,Standard Class,Western Europe,Basketball
1,0.7922757,HIGH,Second Class,Northern Europe,Camping & Hiking
0,0.17907274,LOW,Standard Class,Southern Europe,Men's Footwear
0,0.38687316,LOW,Standard Class,Central America,Women's Apparel
1,0.39617282,LOW,Standard Class,Eastern Asia,Cardio Equipment
1,0.99370724,HIGH,First Class,South America,Shop By Sport
1,0.39657113,LOW,Standard Class,Western Europe,As Seen on  TV!
0,0.39489606,LOW,Standard Class,West Asia,Cardio Equipment
1,0.9907013,HIGH,First Class,Caribbean,Fishing
0,0.34360486,LOW,Standard Class,North Africa,Camping & Hiking
1,0.6924392,HIGH,Second Class,US Center ,Men's Footwear
0,0.37355646,LOW,Standard Class,Central America,Cardio Equipment
1,0.79842144,HIGH,Second Class,West Asia,Indoor/Outdoor Games
0,0.33297715,LOW,Standard Class,Northern Europe,Trade-In
0,0.32195356,LOW,Standard Class,Caribbean,Indoor/Outdoor Games
1,0.35507244,LOW,Standard Class,Central America,Cleats
0,0.34655443,LOW,Standard Class,North Africa,Cardio Equipment
1,0.44816867,LOW,Same Day,South Asia,Women's Apparel
0,0.43889007,LOW,Standard Class,Central America,Water Sports
1,0.39625555,LOW,Standard Class,South of  USA ,Men's Footwear
1,0.396118,LOW,Standard Class,Western Europe,Lacrosse
1,0.99236906,HIGH,First Class,Southeast Asia,Cardio Equipment
1,0.99103886,HIGH,First Class,Northern Europe,Cardio Equipment
0,0.33940792,LOW,Standard Class,Caribbean,Women's Apparel
1,0.82514954,HIGH,First Class,South America,Men's Footwear
1,0.36703625,LOW,Standard Class,West Asia,Indoor/Outdoor Games
1,0.46579352,MEDIUM,Same Day,Caribbean,Shop By Sport
1,0.85625833,HIGH,First Class,East of USA,Men's Footwear
1,0.9938387,HIGH,First Class,South Asia,Toys
1,0.33828032,LOW,Standard Class,North Africa,Women's Apparel
0,0.4009093,LOW,Standard Class,East of USA,Accessories
1,0.396626,LOW,Standard Class,South America,Cardio Equipment
0,0.39489606,LOW,Standard Class,South America,Girls' Apparel
0,0.34818754,LOW,Standard Class,Central America,Camping & Hiking
0,0.39422986,LOW,Standard Class,West Africa,Cardio Equipment
0,0.39664993,LOW,Standard Class,Southern Europe,Water Sports
1,0.85069156,HIGH,Second Class,Western Europe,Fishing
0,0.4196708,LOW,Same Day,South of  USA ,Indoor/Outdoor Games
1,0.7985258,HIGH,Second Class,South Asia,Cleats
1,0.9898426,HIGH,First Class,East of USA,Cleats
0,0.40253592,LOW,Standard Class,Central America,Shop By Sport
0,0.39505318,LOW,Standard Class,Caribbean,Fishing
0,0.396118,LOW,Standard Class,Western Europe,Women's Apparel
1,0.374752,LOW,Standard Class,East Africa,Water Sports
1,0.39377767,LOW,Standard Class,Oceania,Cardio Equipment
1,0.98371774,HIGH,First Class,Western Europe,Water Sports
0,0.31309173,LOW,Standard Class,Southern Europe,Indoor/Outdoor Games
1,0.4433025,LOW,Standard Class,Central America,Men's Footwear
0,0.4431783,LOW,Standard Class,Southeast Asia,Fishing
1,0.73706406,HIGH,Second Class,Southern Europe,Fishing
1,0.79689556,HIGH,Second Class,West Asia,Men's Footwear
1,0.7712059,HIGH,Second Class,North Africa,Indoor/Outdoor Games
1,0.33724925,LOW,Standard Class,Eastern Europe,Men's Footwear
0,0.66772544,HIGH,Standard Class,Western Europe,Cameras 
1,0.98994595,HIGH,First Class,Western Europe,Men's Footwear
0,0.84374154,HIGH,First Class,Central America,Accessories
0,0.4085868,LOW,Standard Class,Southern Europe,Electronics
1,0.78001696,HIGH,Second Class,Central America,Cleats
1,0.44542235,LOW,Standard Class,North Africa,Cleats
0,0.33828032,LOW,Standard Class,West Asia,Women's Apparel
0,0.3424075,LOW,Standard Class,Central America,Fishing
0,0.39723867,LOW,Standard Class,Western Europe,Shop By Sport
0,0.41548708,LOW,Standard Class,West Africa,Women's Apparel
1,0.34360486,LOW,Standard Class,Eastern Asia,Water Sports
0,0.39422986,LOW,Standard Class,Oceania,Women's Clothing
1,0.99065197,HIGH,First Class,West Asia,Men's Footwear
1,0.39739615,LOW,Standard Class,Western Europe,Cleats
0,0.39607286,LOW,Standard Class,Central America,Water Sports
0,0.39377767,LOW,Standard Class,Southern Africa,Women's Apparel
1,0.8429132,HIGH,First Class,Western Europe,Fishing
1,0.990564,HIGH,First Class,Southeast Asia,Indoor/Outdoor Games
0,0.3387044,LOW,Standard Class,Southern Africa,Women's Apparel
0,0.8537488,HIGH,First Class,Western Europe,Cleats
0,0.4844077,MEDIUM,Standard Class,Western Europe,Electronics
1,0.8047913,HIGH,Second Class,Southeast Asia,Video Games
1,0.85150045,HIGH,First Class,East of USA,Shop By Sport
1,0.9875053,HIGH,First Class,South America,Hunting & Shooting
0,0.5155732,MEDIUM,Same Day,Western Europe,Women's Apparel
0,0.2648974,LOW,Standard Class,Eastern Europe,Cleats
1,0.7202036,HIGH,Second Class,Southeast Asia,Fishing
0,0.39657113,LOW,Standard Class,Western Europe,Women's Apparel
1,0.7984761,HIGH,Second Class,Western Europe,Women's Apparel
1,0.43284193,LOW,Standard Class,Western Europe,Cardio Equipment
1,0.79689556,HIGH,Second Class,Oceania,Water Sports
1,0.41764814,LOW,Standard Class,East of USA,Cleats
0,0.38652486,LOW,Standard Class,Western Europe,Cameras 
0,0.40479997,LOW,Standard Class,Southeast Asia,Video Games
1,0.39753383,LOW,Standard Class,Southeast Asia,Fishing
1,0.39377767,LOW,Standard Class,Caribbean,Cardio Equipment
1,0.80825776,HIGH,Second Class,Oceania,Accessories
0,0.39422986,LOW,Standard Class,Caribbean,Indoor/Outdoor Games
1,0.77351147,HIGH,Second Class,East of USA,Cleats
1,0.80289084,HIGH,Second Class,Western Europe,Golf Apparel
1,0.36732736,LOW,Standard Class,Central America,Men's Footwear
0,0.40033635,LOW,Standard Class,Western Europe,Fishing
1,0.9914386,HIGH,First Class,Western Europe,Cardio Equipment
1,0.39841792,LOW,Standard Class,Western Europe,Water Sports
0,0.48212874,MEDIUM,Same Day,West of USA ,Camping & Hiking
0,0.38919938,LOW,Standard Class,Northern Europe,Golf Shoes
1,0.3462457,LOW,Standard Class,Western Europe,Camping & Hiking
0,0.39377767,LOW,Standard Class,Caribbean,Men's Footwear
1,0.76376444,HIGH,Second Class,South America,Women's Apparel
1,0.6896675,HIGH,Second Class,Southeast Asia,Cleats
0,0.39723867,LOW,Standard Class,Western Europe,Men's Footwear
1,0.99143374,HIGH,First Class,Eastern Asia,Golf Gloves
1,0.7977585,HIGH,Second Class,Central America,Cardio Equipment
0,0.34534612,LOW,Standard Class,Eastern Asia,Women's Apparel
0,0.3338706,LOW,Standard Class,West Asia,Indoor/Outdoor Games
0,0.39625555,LOW,Standard Class,US Center ,Women's Apparel
1,0.72422856,HIGH,Second Class,Western Europe,Women's Apparel
0,0.39377767,LOW,Standard Class,South Asia,Cleats
1,0.7981953,HIGH,Second Class,Oceania,Cardio Equipment
1,0.77351147,HIGH,Second Class,East of USA,Cleats
1,0.9912709,HIGH,First Class,Western Europe,Shop By Sport
1,0.9911506,HIGH,First Class,Northern Europe,Shop By Sport
1,0.7926847,HIGH,Second Class,Central America,Cleats
1,0.40274423,LOW,Standard Class,Western Europe,Cleats
1,0.39377767,LOW,Standard Class,South America,Indoor/Outdoor Games
1,0.3887934,LOW,Standard Class,West Asia,Cleats
1,0.98938096,HIGH,First Class,Western Europe,Indoor/Outdoor Games
0,0.3953487,LOW,Standard Class,West Asia,Cleats
1,0.9885014,HIGH,First Class,Central America,Shop By Sport
1,0.39507705,LOW,Standard Class,Northern Europe,Men's Footwear
1,0.79842144,HIGH,Second Class,Central America,Cleats
1,0.9938215,HIGH,First Class,Western Europe,Fishing
1,0.99118865,HIGH,First Class,Western Europe,Women's Apparel
1,0.99207217,HIGH,First Class,Oceania,Cardio Equipment
1,0.9901068,HIGH,First Class,Central America,Men's Footwear
0,0.32236713,LOW,Standard Class,Caribbean,Shop By Sport
1,0.4306802,LOW,Standard Class,West Asia,Men's Footwear
0,0.38736105,LOW,Standard Class,US Center ,Cardio Equipment
1,0.7957262,HIGH,Second Class,Northern Europe,Men's Footwear
1,0.7407263,HIGH,Second Class,US Center ,Women's Apparel
1,0.9907651,HIGH,First Class,Central America,Shop By Sport
0,0.8062563,HIGH,Second Class,South of  USA ,Cleats
1,0.81956255,HIGH,Second Class,Eastern Asia,Water Sports
1,0.40239713,LOW,Standard Class,Northern Europe,Tennis & Racquet
1,0.45208523,MEDIUM,Standard Class,Central America,Men's Footwear
0,0.39505318,LOW,Standard Class,West of USA ,Fishing
1,0.99084014,HIGH,First Class,Central America,Water Sports
0,0.3656877,LOW,Standard Class,South America,Women's Apparel
1,0.8043827,HIGH,Second Class,Western Europe,Shop By Sport
1,0.5105588,MEDIUM,Same Day,Central America,Cleats
1,0.3419806,LOW,Standard Class,Northern Europe,Women's Apparel
0,0.83743274,HIGH,First Class,Caribbean,Shop By Sport
1,0.34818754,LOW,Standard Class,Central America,Water Sports
1,0.36909956,LOW,Standard Class,Caribbean,Men's Footwear
0,0.39489606,LOW,Standard Class,Central America,Men's Footwear
0,0.38749957,LOW,Standard Class,US Center ,Men's Footwear
0,0.4212007,LOW,Standard Class,Central America,Men's Footwear
1,0.8421596,HIGH,First Class,Caribbean,Camping & Hiking
1,0.39619672,LOW,Standard Class,Northern Europe,Electronics
1,0.5138367,MEDIUM,Standard Class,South America,Cardio Equipment
1,0.6877891,HIGH,Second Class,US Center ,Men's Footwear
0,0.3435363,LOW,Standard Class,Caribbean,Cleats
1,0.8121413,HIGH,Second Class,Southeast Asia,Toys
1,0.36126605,LOW,Standard Class,Central America,Shop By Sport
0,0.39635402,LOW,Standard Class,Southern Europe,Camping & Hiking
0,0.34047607,LOW,Standard Class,Western Europe,Women's Apparel
1,0.9910664,HIGH,First Class,Western Europe,Cameras 
0,0.34483287,LOW,Standard Class,Northern Europe,Water Sports
1,0.79441005,HIGH,Second Class,East of USA,Indoor/Outdoor Games
1,0.83972305,HIGH,First Class,Central Africa,Cleats
0,0.3441409,LOW,Standard Class,Central America,Men's Footwear
1,0.9919254,HIGH,First Class,East of USA,Men's Footwear
1,0.59028536,MEDIUM,Same Day,East of USA,Cleats
0,0.44004926,LOW,Same Day,Central America,Men's Footwear
1,0.9911857,HIGH,First Class,Southeast Asia,Cleats
0,0.39739615,LOW,Standard Class,Western Europe,Fishing
1,0.7984761,HIGH,Second Class,Western Europe,Water Sports
1,0.81413156,HIGH,Second Class,South America,Shop By Sport
1,0.38680938,LOW,Standard Class,Oceania,Cleats
0,0.40245658,LOW,Standard Class,Western Europe,Indoor/Outdoor Games
1,0.7799227,HIGH,Second Class,Central America,Electronics
1,0.79943806,HIGH,Second Class,Western Europe,Cardio Equipment
0,0.33709145,LOW,Standard Class,Northern Europe,Men's Footwear
0,0.6857553,HIGH,Second Class,Central America,Indoor/Outdoor Games
1,0.9775488,HIGH,First Class,Eastern Europe,Men's Footwear
1,0.3999796,LOW,Standard Class,Southern Europe,Water Sports
1,0.7794643,HIGH,Second Class,Southern Europe,Cardio Equipment
1,0.9861667,HIGH,First Class,Central America,Cleats
0,0.39422986,LOW,Standard Class,Eastern Asia,Women's Apparel
1,0.8408989,HIGH,First Class,Central America,Tennis & Racquet
1,0.9926394,HIGH,First Class,Central America,Girls' Apparel
1,0.9911027,HIGH,First Class,South of  USA ,Women's Apparel
1,0.99205714,HIGH,First Class,Central America,Fishing
0,0.34557024,LOW,Standard Class,Western Europe,Hockey
1,0.44530654,LOW,Standard Class,West of USA ,Women's Apparel
1,0.79689556,HIGH,Second Class,East Africa,Camping & Hiking
1,0.33354974,LOW,Standard Class,South America,Water Sports
1,0.39377767,LOW,Standard Class,Caribbean,Camping & Hiking
0,0.31419322,LOW,Same Day,US Center ,Camping & Hiking
1,0.7951538,HIGH,Second Class,Eastern Asia,Women's Clothing
0,0.34534612,LOW,Standard Class,Caribbean,Cleats
0,0.35458726,LOW,Standard Class,Central America,Water Sports
1,0.36875668,LOW,Standard Class,Central Africa,Fishing
1,0.4973412,MEDIUM,Same Day,South America,Fishing
0,0.3379814,LOW,Standard Class,West Asia,Lacrosse
0,0.6739939,HIGH,Second Class,Oceania,Cleats
1,0.9911857,HIGH,First Class,West of USA ,Men's Footwear
0,0.3843942,LOW,Standard Class,East of USA,Indoor/Outdoor Games
1,0.39489606,LOW,Standard Class,Eastern Asia,Camping & Hiking
0,0.39422986,LOW,Standard Class,South Asia,Men's Footwear
0,0.39377767,LOW,Standard Class,Caribbean,Cleats
1,0.8112231,HIGH,Second Class,Western Europe,Trade-In
0,0.38181046,LOW,Standard Class,West Asia,Indoor/Outdoor Games
0,0.36655024,LOW,Same Day,Western Europe,Cardio Equipment
0,0.3471792,LOW,Standard Class,Southern Europe,Indoor/Outdoor Games
1,0.8013363,HIGH,Second Class,Caribbean,Women's Apparel
1,0.99226177,HIGH,First Class,East of USA,Indoor/Outdoor Games
1,0.40306407,LOW,Standard Class,Northern Europe,Books 
0,0.39489606,LOW,Standard Class,Southeast Asia,Indoor/Outdoor Games
1,0.4375021,LOW,Standard Class,Eastern Europe,Women's Apparel
1,0.79689556,HIGH,Second Class,Central America,Water Sports
0,0.19990277,LOW,Standard Class,West of USA ,Fishing
1,0.3444137,LOW,Standard Class,Western Europe,Women's Apparel
0,0.80039227,HIGH,Second Class,South Asia,Water Sports
1,0.8310605,HIGH,First Class,East of USA,Women's Apparel
1,0.33828032,LOW,Standard Class,US Center ,Indoor/Outdoor Games
0,0.6473921,HIGH,Second Class,Central America,Women's Apparel
0,0.33828032,LOW,Standard Class,South America,Women's Apparel
0,0.39843282,LOW,Standard Class,Oceania,Accessories
1,0.3387044,LOW,Standard Class,Eastern Asia,Indoor/Outdoor Games
0,0.27815747,LOW,Standard Class,Canada,Cleats
1,0.38749957,LOW,Standard Class,Central America,Indoor/Outdoor Games
1,0.80091697,HIGH,Second Class,Oceania,Fishing
0,0.39377767,LOW,Standard Class,West Asia,Men's Footwear
0,0.7536636,HIGH,Second Class,Central America,Trade-In
0,0.30039334,LOW,Standard Class,South America,Indoor/Outdoor Games
1,0.7954252,HIGH,Second Class,West of USA ,Men's Footwear
0,0.4382665,LOW,Standard Class,South America,Men's Footwear
0,0.39505318,LOW,Standard Class,Caribbean,Fishing
1,0.7936922,HIGH,Second Class,Western Europe,Boxing & MMA
0,0.34360486,LOW,Standard Class,South Asia,Women's Clothing
1,0.5490336,MEDIUM,Standard Class,West of USA ,Indoor/Outdoor Games
1,0.7985686,HIGH,Second Class,South of  USA ,Water Sports
1,0.39943445,LOW,Standard Class,Caribbean,Cleats
0,0.39422986,LOW,Standard Class,Southeast Asia,Men's Footwear
1,0.99125844,HIGH,First Class,Western Europe,Men's Footwear
1,0.42022678,LOW,Standard Class,North Africa,Men's Footwear
1,0.99051636,HIGH,First Class,Western Europe,Cleats
1,0.39377767,LOW,Standard Class,West Asia,Water Sports
1,0.34439197,LOW,Standard Class,Southern Europe,Women's Apparel
1,0.6199858,HIGH,Second Class,Western Europe,Men's Footwear
1,0.80126,HIGH,Second Class,Southern Europe,Water Sports
0,0.28856096,LOW,Standard Class,Western Europe,Water Sports
0,0.79842144,HIGH,Second Class,South America,Indoor/Outdoor Games
0,0.49758238,MEDIUM,Same Day,Western Europe,Water Sports
0,0.39489606,LOW,Standard Class,West Asia,Cleats
1,0.8407582,HIGH,First Class,Southeast Asia,Indoor/Outdoor Games
0,0.42480505,LOW,Standard Class,Central America,Cleats
0,0.39489606,LOW,Standard Class,Central America,Soccer
0,0.3498429,LOW,Standard Class,Central America,Cardio Equipment
1,0.39505318,LOW,Standard Class,South America,Cardio Equipment
1,0.42948166,LOW,Standard Class,Western Europe,Accessories
0,0.32942793,LOW,Standard Class,West of USA ,Camping & Hiking
1,0.39489606,LOW,Standard Class,Southeast Asia,DVDs
1,0.49040556,MEDIUM,Same Day,Western Europe,Water Sports
